Prod_id,Product_Category,Product_Sub_Category
Prod_16,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS"
Prod_13,OFFICE SUPPLIES,PENS & ART SUPPLIES
Prod_4,TECHNOLOGY,TELEPHONES AND COMMUNICATION
Prod_6,OFFICE SUPPLIES,PAPER
Prod_17,TECHNOLOGY,OFFICE MACHINES
Prod_5,FURNITURE,OFFICE FURNISHINGS
Prod_15,FURNITURE,CHAIRS & CHAIRMATS
Prod_7,OFFICE SUPPLIES,RUBBER BANDS
Prod_1,OFFICE SUPPLIES,STORAGE & ORGANIZATION
Prod_8,TECHNOLOGY,COMPUTER PERIPHERALS
Prod_3,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES
Prod_11,FURNITURE,TABLES
Prod_9,OFFICE SUPPLIES,ENVELOPES
Prod_2,OFFICE SUPPLIES,APPLIANCES
Prod_12,OFFICE SUPPLIES,LABELS
Prod_10,FURNITURE,BOOKCASES
Prod_14,TECHNOLOGY,COPIERS AND FAX
