Ship_id,Order_ID,Ship_Mode,Ship_Date
SHP_7609,36262,REGULAR AIR,28-7-10
SHP_7549,20513,EXPRESS AIR,8-7-09
SHP_7610,36262,EXPRESS AIR,27-7-10
SHP_7625,39682,EXPRESS AIR,11-11-10
SHP_7608,36262,EXPRESS AIR,28-7-10
SHP_7664,54019,DELIVERY TRUCK,8-7-09
SHP_4112,37863,REGULAR AIR,26-2-11
SHP_7663,53026,REGULAR AIR,3-3-12
SHP_7588,31399,REGULAR AIR,6-11-11
SHP_7632,40838,REGULAR AIR,27-11-12
SHP_7671,56706,REGULAR AIR,11-11-09
SHP_7631,40838,REGULAR AIR,29-11-12
SHP_7659,52230,DELIVERY TRUCK,1-9-12
SHP_5175,36992,EXPRESS AIR,9-12-09
SHP_5176,38596,REGULAR AIR,3-4-10
SHP_5178,41186,REGULAR AIR,23-11-10
SHP_5771,13920,REGULAR AIR,10-10-09
SHP_5770,13920,EXPRESS AIR,11-10-09
SHP_6686,55554,REGULAR AIR,17-11-09
SHP_6686,55554,REGULAR AIR,17-11-09
SHP_6687,55554,REGULAR AIR,19-11-09
SHP_6731,59363,REGULAR AIR,2-5-09
SHP_2548,48455,REGULAR AIR,3-6-09
SHP_2548,48455,REGULAR AIR,3-6-09
SHP_2548,48455,REGULAR AIR,3-6-09
SHP_6273,19524,REGULAR AIR,15-1-10
SHP_5688,43653,EXPRESS AIR,31-10-12
SHP_5685,42788,REGULAR AIR,15-10-11
SHP_5599,10979,EXPRESS AIR,6-10-11
SHP_5598,10979,REGULAR AIR,6-10-11
SHP_5687,43653,REGULAR AIR,30-10-12
SHP_5708,53895,REGULAR AIR,6-9-11
SHP_5689,43653,REGULAR AIR,1-11-12
SHP_5674,31847,REGULAR AIR,22-12-09
SHP_2145,39330,EXPRESS AIR,18-7-10
SHP_1897,13861,REGULAR AIR,11-8-10
SHP_2178,43367,EXPRESS AIR,10-3-10
SHP_2308,58113,EXPRESS AIR,3-2-12
SHP_2177,43367,REGULAR AIR,12-3-10
SHP_2307,58113,REGULAR AIR,3-2-12
SHP_2238,50306,REGULAR AIR,22-5-11
SHP_2179,43367,REGULAR AIR,9-3-10
SHP_1976,20259,REGULAR AIR,25-5-11
SHP_2119,36679,REGULAR AIR,2-9-11
SHP_1839,6438,REGULAR AIR,17-5-10
SHP_1838,6438,REGULAR AIR,16-5-10
SHP_1953,18182,REGULAR AIR,11-4-11
SHP_1954,18182,EXPRESS AIR,12-4-11
SHP_1952,18182,REGULAR AIR,12-4-11
SHP_3386,36355,REGULAR AIR,3-12-09
SHP_3386,36355,REGULAR AIR,3-12-09
SHP_3311,24069,DELIVERY TRUCK,23-7-10
SHP_3447,46562,DELIVERY TRUCK,14-2-11
SHP_3478,52480,REGULAR AIR,29-7-10
SHP_3385,36355,REGULAR AIR,2-12-09
SHP_3335,27011,REGULAR AIR,30-12-10
SHP_3313,24228,REGULAR AIR,21-7-09
SHP_3384,36355,EXPRESS AIR,2-12-09
SHP_3957,18595,REGULAR AIR,2-2-09
SHP_3957,18595,REGULAR AIR,2-2-09
SHP_3935,13670,EXPRESS AIR,26-5-12
SHP_3998,27974,REGULAR AIR,8-10-10
SHP_3998,27974,REGULAR AIR,8-10-10
SHP_3920,7429,EXPRESS AIR,27-5-10
SHP_3919,7429,REGULAR AIR,27-5-10
SHP_56,6116,REGULAR AIR,22-3-09
SHP_67,7430,REGULAR AIR,9-6-10
SHP_1324,34721,REGULAR AIR,2-11-10
SHP_1345,41671,REGULAR AIR,5-12-12
SHP_3273,17446,EXPRESS AIR,11-6-09
SHP_3455,47265,REGULAR AIR,11-12-11
SHP_3263,15264,REGULAR AIR,17-11-11
SHP_3223,4769,REGULAR AIR,14-4-11
SHP_3394,37414,DELIVERY TRUCK,11-9-11
SHP_3246,11527,REGULAR AIR,4-7-09
SHP_3416,40643,REGULAR AIR,7-4-11
SHP_3262,15264,REGULAR AIR,19-11-11
SHP_6011,49764,EXPRESS AIR,7-10-10
SHP_6033,58564,REGULAR AIR,13-11-12
SHP_5953,20615,EXPRESS AIR,16-4-12
SHP_5924,8132,REGULAR AIR,21-5-09
SHP_6027,55653,DELIVERY TRUCK,27-11-10
SHP_5958,22689,REGULAR AIR,11-10-11
SHP_5971,26336,REGULAR AIR,27-5-12
SHP_5923,8132,EXPRESS AIR,14-5-09
SHP_5970,26336,REGULAR AIR,28-5-12
SHP_5613,16422,REGULAR AIR,11-10-11
SHP_5647,24193,REGULAR AIR,16-3-09
SHP_5651,24993,REGULAR AIR,13-3-10
SHP_5646,24193,REGULAR AIR,15-3-09
SHP_5612,16422,REGULAR AIR,10-10-11
SHP_5645,24193,DELIVERY TRUCK,16-3-09
SHP_5657,26214,REGULAR AIR,21-11-11
SHP_5656,26214,EXPRESS AIR,21-11-11
SHP_284,33377,REGULAR AIR,1-8-11
SHP_145,16706,REGULAR AIR,28-6-12
SHP_145,16706,REGULAR AIR,28-6-12
SHP_306,35266,REGULAR AIR,10-1-11
SHP_146,16706,EXPRESS AIR,29-6-12
SHP_283,33377,REGULAR AIR,2-8-11
SHP_391,50278,DELIVERY TRUCK,27-5-10
SHP_307,35266,DELIVERY TRUCK,12-1-11
SHP_123,14372,DELIVERY TRUCK,25-10-12
SHP_388,49952,EXPRESS AIR,20-11-11
SHP_179,22151,REGULAR AIR,31-7-10
SHP_390,50278,REGULAR AIR,25-5-10
SHP_343,41409,REGULAR AIR,23-7-11
SHP_262,31364,REGULAR AIR,1-5-09
SHP_1590,13345,REGULAR AIR,2-9-12
SHP_1596,15808,REGULAR AIR,15-12-10
SHP_1611,30016,REGULAR AIR,6-1-09
SHP_1629,41543,REGULAR AIR,10-2-09
SHP_1588,12452,REGULAR AIR,9-12-10
SHP_1588,12452,REGULAR AIR,9-12-10
SHP_1610,30016,REGULAR AIR,5-1-09
SHP_1598,16326,REGULAR AIR,10-5-10
SHP_1625,40961,REGULAR AIR,31-3-11
SHP_1642,56101,REGULAR AIR,21-7-10
SHP_1593,15808,REGULAR AIR,14-12-10
SHP_1607,28420,EXPRESS AIR,24-9-09
SHP_1620,37121,DELIVERY TRUCK,16-3-11
SHP_1628,41543,DELIVERY TRUCK,10-2-09
SHP_1587,12452,REGULAR AIR,8-12-10
SHP_1602,21091,EXPRESS AIR,14-12-09
SHP_1643,56101,REGULAR AIR,22-7-10
SHP_1594,15808,EXPRESS AIR,14-12-10
SHP_1589,13345,REGULAR AIR,3-9-12
SHP_1597,16326,REGULAR AIR,12-5-10
SHP_1595,15808,REGULAR AIR,16-12-10
SHP_2052,28805,REGULAR AIR,4-4-11
SHP_2052,28805,REGULAR AIR,4-4-11
SHP_2052,28805,REGULAR AIR,4-4-11
SHP_1935,17187,DELIVERY TRUCK,25-9-12
SHP_2129,37349,EXPRESS AIR,17-2-10
SHP_1845,8103,REGULAR AIR,6-11-09
SHP_2692,55139,REGULAR AIR,18-1-10
SHP_2692,55139,REGULAR AIR,18-1-10
SHP_6537,42529,REGULAR AIR,15-10-10
SHP_6547,43170,REGULAR AIR,17-5-10
SHP_6546,43170,DELIVERY TRUCK,20-5-10
SHP_6388,28737,REGULAR AIR,5-10-11
SHP_6388,28737,REGULAR AIR,5-10-11
SHP_6397,29505,EXPRESS AIR,28-12-12
SHP_6039,195,REGULAR AIR,29-12-10
SHP_6405,31233,REGULAR AIR,28-9-11
SHP_6405,31233,REGULAR AIR,28-9-11
SHP_6404,30887,REGULAR AIR,7-7-10
SHP_6306,22402,REGULAR AIR,28-5-09
SHP_6306,22402,REGULAR AIR,28-5-09
SHP_6406,31233,REGULAR AIR,26-9-11
SHP_6284,20519,REGULAR AIR,11-4-09
SHP_6084,3649,REGULAR AIR,14-7-09
SHP_6379,27745,DELIVERY TRUCK,24-9-10
SHP_6407,31233,REGULAR AIR,3-10-11
SHP_6083,3649,REGULAR AIR,10-7-09
SHP_6247,17701,REGULAR AIR,22-5-12
SHP_6241,17568,REGULAR AIR,9-10-10
SHP_6178,11682,REGULAR AIR,11-7-10
SHP_378,47749,REGULAR AIR,16-3-10
SHP_2484,4647,REGULAR AIR,14-5-09
SHP_2484,4647,REGULAR AIR,14-5-09
SHP_2484,4647,REGULAR AIR,14-5-09
SHP_3124,30276,REGULAR AIR,30-8-11
SHP_3059,7938,REGULAR AIR,15-3-10
SHP_3125,30276,DELIVERY TRUCK,30-8-11
SHP_142,16545,REGULAR AIR,11-5-10
SHP_142,16545,REGULAR AIR,11-5-10
SHP_111,12771,REGULAR AIR,19-1-09
SHP_210,26116,REGULAR AIR,30-10-12
SHP_110,12771,REGULAR AIR,17-1-09
SHP_109,12704,DELIVERY TRUCK,11-2-10
SHP_108,12704,REGULAR AIR,9-2-10
SHP_7226,19425,REGULAR AIR,25-9-12
SHP_7317,54787,REGULAR AIR,25-2-11
SHP_7290,40770,REGULAR AIR,21-4-11
SHP_7302,48801,REGULAR AIR,13-10-12
SHP_1392,50048,REGULAR AIR,20-1-10
SHP_1392,50048,REGULAR AIR,20-1-10
SHP_377,47620,REGULAR AIR,5-7-12
SHP_235,28003,REGULAR AIR,21-3-11
SHP_255,30947,REGULAR AIR,18-7-10
SHP_255,30947,REGULAR AIR,18-7-10
SHP_207,26023,REGULAR AIR,21-8-10
SHP_254,30658,REGULAR AIR,28-3-11
SHP_253,30658,REGULAR AIR,27-3-11
SHP_6880,48803,REGULAR AIR,10-11-12
SHP_6899,58247,REGULAR AIR,25-9-11
SHP_6898,58247,REGULAR AIR,23-9-11
SHP_6462,36647,REGULAR AIR,1-7-09
SHP_6462,36647,REGULAR AIR,1-7-09
SHP_6739,59815,REGULAR AIR,17-12-10
SHP_6567,44517,REGULAR AIR,24-4-09
SHP_6461,36356,REGULAR AIR,27-12-11
SHP_6460,36356,DELIVERY TRUCK,27-12-11
SHP_6463,36647,REGULAR AIR,3-7-09
SHP_6459,36196,REGULAR AIR,8-8-11
SHP_2556,57638,REGULAR AIR,24-4-12
SHP_2556,57638,REGULAR AIR,24-4-12
SHP_2525,36196,REGULAR AIR,7-8-11
SHP_2550,48994,REGULAR AIR,24-10-10
SHP_7068,7552,REGULAR AIR,12-9-12
SHP_7068,7552,REGULAR AIR,12-9-12
SHP_7067,7488,REGULAR AIR,4-5-12
SHP_7084,35811,REGULAR AIR,5-1-12
SHP_7073,12481,REGULAR AIR,10-7-11
SHP_7082,33700,REGULAR AIR,11-4-11
SHP_7064,6850,REGULAR AIR,12-2-10
SHP_7066,6850,DELIVERY TRUCK,12-2-10
SHP_7083,35811,REGULAR AIR,4-1-12
SHP_7075,20128,REGULAR AIR,2-9-09
SHP_7075,20128,REGULAR AIR,2-9-09
SHP_7065,6850,REGULAR AIR,13-2-10
SHP_7072,12481,REGULAR AIR,12-7-11
SHP_7063,6850,REGULAR AIR,11-2-10
SHP_6038,59783,REGULAR AIR,24-8-10
SHP_6000,39938,REGULAR AIR,11-6-12
